"filename", "language", "Markdown", "HTML", "TypeScript", "XML", "JSON", "TypeScript JSX", "SCSS", "JSON with Comments", "comment", "blank", "total"
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\details.md", "Markdown", 189, 0, 0, 0, 0, 0, 0, 0, 0, 6, 195
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\results.md", "Markdown", 95, 0, 0, 0, 0, 0, 0, 0, 0, 7, 102
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\README.md", "Markdown", 39, 0, 0, 0, 0, 0, 0, 0, 2, 12, 53
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\index.html", "HTML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\manifest\favicon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\manifest\site.webmanifest", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\package-lock.json", "JSON", 0, 0, 0, 0, 2759, 0, 0, 0, 0, 1, 2760
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\package.json", "JSON", 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 33
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\Api.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 11, 17, 96
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\ApiBodyFormats\Users.ts", "TypeScript", 0, 0, 203, 0, 0, 0, 0, 0, 0, 13, 216
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\Endpoints.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\Flavors.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 2, 87
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\User.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 9, 60
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\db.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\Dotenv.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
