"filename", "language", "Markdown", "JSON with Comments", "HTML", "TypeScript", "JSON", "JavaScript", "Python", "SCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\details.md", "Markdown", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 195
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\results.md", "Markdown", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 102
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\README.md", "Markdown", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48, 213
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\index.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\package-lock.json", "JSON", 0, 0, 0, 0, 4296, 0, 0, 0, 0, 0, 0, 1, 4297
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\package.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\Test.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 17, 71
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\110.json", "JSON", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 153
