"filename", "language", "Markdown", "SCSS", "TypeScript", "JSON", "Python", "HTML", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-14_00-03-56\details.md", "Markdown", 237, 0, 0, 0, 0, 0, 0, 0, 6, 243
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-14_00-03-56\diff-details.md", "Markdown", 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-14_00-03-56\diff.md", "Markdown", 35, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-14_00-03-56\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-14_00-03-56\results.md", "Markdown", 119, 0, 0, 0, 0, 0, 0, 0, 7, 126
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\README.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\package-lock.json", "JSON", 0, 0, 0, 121, 0, 0, 0, 0, 0, 121
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\package.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\convertImageToSelectionJson.py", "Python", 0, 0, 0, 0, 0, 0, 0, 2, 3, 5
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\User.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\app\App.scss", "SCSS", 0, -3, 0, 0, 0, 0, 0, 3, 0, 0
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\app\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 13, 36, 175
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\FlavorMusic.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 3, 25, 93
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\FlavorUtils.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\ResourceSaver.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 9, 38
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\addCustomFlavor\AddCustomFlavorDialog.scss", "SCSS", 0, 284, 0, 0, 0, 0, 0, 0, 45, 329
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\addCustomFlavor\AddCustomFlavorDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 473, 0, 115, 588
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\addCustomFlavor\CustomFlavorManager.ts", "TypeScript", 0, 0, 161, 0, 0, 0, 0, 11, 61, 233
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\customFlavorMenu\CustomFlavorItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 16, 61
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\customFlavorMenu\CustomFlavorMenu.scss", "SCSS", 0, 120, 0, 0, 0, 0, 0, 0, 21, 141
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\customFlavorMenu\CustomFlavorMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 11, 53
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishList\DishList.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishList\DishListItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\download\Download.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\errorInfoComponents\rotateDevice\RotateDeviceNoticeDownload.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavor-dragn-drop-list\FlavorDragNDropList.scss", "SCSS", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
