"filename", "language", "TypeScript", "Markdown", "JSON", "JSON with Comments", "HTML", "SCSS", "TypeScript JSX", "JavaScript", "Python", "XML", "comment", "blank", "total"
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\details.md", "Markdown", 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 195
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\diff.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-10_11-56-41\results.md", "Markdown", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 102
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-13_15-40-05\details.md", "Markdown", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 223
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-13_15-40-05\diff-details.md", "Markdown", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 81
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-13_15-40-05\diff.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 75
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-13_15-40-05\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-13_15-40-05\results.md", "Markdown", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 122
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-13_18-32-17\details.md", "Markdown", 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 231
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-13_18-32-17\diff-details.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-13_18-32-17\diff.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-13_18-32-17\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-13_18-32-17\results.md", "Markdown", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 124
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\.VSCodeCounter\2026-03-14_00-03-56\details.md", "Markdown", 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 243
